動詞原形,ます形,て形,ない型,た形,命令形,せる形 / れる形,原形發音,ます形發音,中文,意向形
貼る,貼ります,貼って,貼らない,貼った,貼れ,貼らせる,はる,はります,張貼【他動詞・五段動詞】,
引く,引きます,引いて,引かない,引いた,引け,引かせる,ひく,ひきます,拉、拖；抽取；查閱～【他動詞・五段動詞】,
弾く,弾きます,弾いて,弾かない,弾いた,弾け,弾かせる,ひく,ひきます,彈奏（樂器；讀作ひく）【他動詞・五段動詞】,
吹く,吹きます,吹いて,吹かない,吹いた,吹け,吹かせる,ふく,ふきます,吹；吹奏（樂器）；風吹【自他兩用・五段動詞】,
待つ,待ちます,待って,待たない,待った,待て,待たせる,まつ,まちます,等待【他動詞・五段動詞】,
持つ,持ちます,持って,持たない,持った,持て,持たせる,もつ,もちます,拿著、持有～【他動詞・五段動詞】,
呼ぶ,呼びます,呼んで,呼ばない,呼んだ,呼べ,呼ばせる,よぶ,よびます,呼叫/稱呼【他動詞・五段動詞】,
読む,読みます,読んで,読まない,読んだ,読め,読ませる,よむ,よみます,閱讀、朗讀～【他動詞・五段動詞】,
洗う,洗います,洗って,洗わない,洗った,洗え,洗わせる（あらわせる）,あらう,あらいます,清洗（手或物品）【他動詞・五段動詞】,
歌う,歌います,歌って,歌わない,歌った,歌え,歌わせる（うたわせる）,うたう,うたいます,唱【他動詞・五段動詞】,
頼む,頼みます,頼んで,頼まない,頼んだ,頼め,頼ませる（たのませる）,たのむ,たのみます,拜託、請求；點餐～【他動詞・五段動詞】,
使う,使います,使って,使わない,使った,使え,使わせる（つかわせる）,つかう,つかいます,使用【他動詞・五段動詞】,
作る,作ります,作って,作らない,作った,作れ,作らせる（つくらせる）,つくる,つくります,製作、創作～【他動詞・五段動詞】,
習う,習います,習って,習わない,習った,習え,習わせる（ならわせる）,ならう,ならいます,向別人學習、接受指導【他動詞・五段動詞】,
話す,話します,話して,話さない,話した,話せ,話させる（はなさせる）,はなす,はなします,說、談論～；與～交談【他動詞・五段動詞】,
磨く,磨きます,磨いて,磨かない,磨いた,磨け,磨かせる（みがかせる）,みがく,みがきます,刷（牙）、擦亮、磨練～【他動詞・五段動詞】,
渡す,渡します,渡して,渡さない,渡した,渡せ,渡させる（わたさせる）,わたす,わたします,交給～、遞交～（使其到另一方）【他動詞・五段動詞】,
返す,返します,返して,返さない,返した,返せ,返させる（かえさせる）,かえす,かえします,歸還～、退回～；回覆～【他動詞・五段動詞】,
やる,やります,やって,やらない,やった,やれ,やらせる,やる,やります,做～；給（晚輩或動植物）【他動詞・五段動詞】,
さす,さします,さして,ささない,さした,させ,させる,さす,さします,撐（傘；通常寫作差す）【他動詞・五段動詞】,
なくす,なくします,なくして,なくさない,なくした,なくせ,なくさせる,なくす,なくします,弄丟～；使～消失【他動詞・五段動詞】,
かぶる,かぶります,かぶって,かぶらない,かぶった,かぶれ,かぶらせる,かぶる,かぶります,戴上（帽子）；蓋上、蒙受～【他動詞・五段動詞】,
くださる,くださいます,くださって,くださいません,くださった,くださってください,くださらせる,くださる,くださいます,給我／我方（尊敬語）【他動詞・五段動詞】,
着る,着ます,着て,着ない,着た,着ろ,着せる（きせる）,きる,きます,穿上（上衣、外套）【他動詞・一段動詞】,
見る,見ます,見て,見ない,見た,見ろ,見せる（みせる）,みる,みます,看【他動詞・一段動詞】,
浴びる,浴びます,浴びて,浴びない,浴びた,浴びろ,浴びせる（あびせる）,あびる,あびます,淋浴；受到（陽光、批評等）【他動詞・一段動詞】,
借りる,借ります,借りて,借りない,借りた,借りろ,借りせる（かりせる）,かりる,かります,向別人借用（借入的一方）【他動詞・一段動詞】,
開ける,開けます,開けて,開けない,開けた,開けろ,開けせる（あけせる）,あける,あけます,把門、窗或容器打開【他動詞・一段動詞】,
入れる,入れます,入れて,入れない,入れた,入れろ,入れせる（いれせる）,いれる,いれます,把～放入；加入～【他動詞・一段動詞】,
締める,締めます,締めて,締めない,締めた,締めろ,締めせる（しめせる）,しめる,しめます,繫緊、束緊；締結～【他動詞・一段動詞】,
閉める,閉めます,閉めて,閉めない,閉めた,閉めろ,閉めせる（しめせる）,しめる,しめます,把門、窗或店關上【他動詞・一段動詞】,
食べる,食べます,食べて,食べない,食べた,食べろ,食べさせる（たべさせる）,たべる,たべます,吃【他動詞・一段動詞】,
見せる,見せます,見せて,見せない,見せた,見せろ,見せる（みせる）,みせる,みせます,讓～看；展示～【他動詞・一段動詞】,
教える,教えます,教えて,教えない,教えた,教えろ,教えさせる（おしえさせる）,おしえる,おしえます,教導～；告訴～【他動詞・一段動詞】,
勤める,勤めます,勤めて,勤めない,勤めた,勤めろ,勤めさせる（つとめさせる）,つとめる,つとめます,任職於～、在～工作【自動詞・一段動詞】,
並べる,並べます,並べて,並べない,並べた,並べろ,並べさせる（ならべさせる）,ならべる,ならべます,把～排列、擺放整齊【他動詞・一段動詞】,
かける,かけます,かけて,かけない,かけた,かけろ,かけさせる,かける,かけます,戴（眼鏡）；打電話；花費時間或金錢【他動詞・一段動詞】,
あげる,あげます,あげて,あげない,あげた,あげろ,あげさせる,あげる,あげます,舉起、提高～；給～【他動詞・一段動詞】,
つける,つけます,つけて,つけない,つけた,つけろ,つけさせる,つける,つけます,裝上、附上；開啟（電器）【他動詞・一段動詞】,
なる,なります,なって,ならない,なった,なれ,ならせる,なる,なります,成為、變成～【自動詞・五段動詞】,
会う,会います,会って,会わない,会った,会え,会わせる（あわせる）,あう,あいます,遇見、會見～【自動詞・五段動詞】,
開く,開きます,開いて,開かない,開けた,開け,開かせる（あかせる）,ひらく,ひらきます,打開、開張；敞開（讀作ひらく）【自他兩用・五段動詞】,
ある,あります,あって,ない,あった,あれ,させる,ある,あります,有、存在（無生命事物）【自動詞・五段動詞】,
行く,行きます,行って,行かない,行った,行け,行かせる（いかせる）,いく,いきます,去、前往～【自動詞・五段動詞】,
要る,要ります,要って,要らない,要った,要れ,要らせる,いる,いります,需要、必須有～【自動詞・五段動詞】,
咲く,咲きます,咲いて,咲かない,咲いた,咲け,咲かせる（さかせる）,さく,さきます,花朵開放、開花【自動詞・五段動詞】,
死ぬ,死にます,死んで,死なない,死んだ,死ね,死なせる（しなせる）,しぬ,しにます,死【自動詞・五段動詞】,
住む,住みます,住んで,住まない,住んだ,住め,住ませる（すませる）,すむ,すみます,居住、住在～【自動詞・五段動詞】,
立つ,立ちます,立って,立たない,立った,立て,立たせる（たたせる）,たつ,たちます,站/立【自動詞・五段動詞】,
着く,着きます,着いて,着かない,着いた,着け,着かせる（きかせる）,つく,つきます,到達；附著（讀作つく）【自動詞・五段動詞】,
飛ぶ,飛びます,飛んで,飛ばない,飛んだ,飛べ,飛ばせる（とばせる）,とぶ,とびます,飛翔；跳躍【自動詞・五段動詞】,
泣く,泣きます,泣いて,泣かない,泣いた,泣け,泣かせる（なかせる）,なく,なきます,哭泣（人發出哭聲）【自動詞・五段動詞】,
鳴く,鳴きます,鳴いて,鳴かない,鳴いた,鳴け,鳴かせる（なかせる）,なく,なきます,鳴叫（動物發聲；讀作なく）【自動詞・五段動詞】,
乗る,乗ります,乗って,乗らない,乗った,乗れ,乗らせる（のらせる）,のる,のります,乘坐、搭乘～【自動詞・五段動詞】,
降る,降ります,降って,降らない,降りた,降れ,降らせる（ふらせる）,ふる,ふります,下雨、下雪；從天而降（讀作ふる）【自動詞・五段動詞】,
泳ぐ,泳ぎます,泳いで,泳がない,泳いだ,泳げ,泳がせる（およがせる）,およぐ,およぎます,游泳【自動詞・五段動詞】,
帰る,帰ります,帰って,帰らない,帰った,帰れ,帰らせる（かえらせる）,かえる,かえります,回去、回家【自動詞・五段動詞】,
曇る,曇ります,曇って,曇らない,曇った,曇れ,曇らせる（くもらせる）,くもる,くもります,變陰天；起霧、失去光澤【自動詞・五段動詞】,
困る,困ります,困って,困らない,困った,困れ,困らせる（こまらせる）,こまる,こまります,感到困擾、為難【自動詞・五段動詞】,
座る,座ります,座って,座らない,座った,座れ,座らせる（すわらせる）,すわる,すわります,坐下【自動詞・五段動詞】,
違う,違います,違って,違わない,違った,違え,違わせる（ちがわせる）,ちがう,ちがいます,不同；不正確、弄錯【自動詞・五段動詞】,
並ぶ,並びます,並んで,並ばない,並んだ,並べ,並べさせる（ならべさせる）,ならぶ,ならびます,排隊、並列（自行排列）【自動詞・五段動詞】,
登る,登ります,登って,登らない,登った,登れ,登らせる（のぼらせる）,のぼる,のぼります,攀登～、登上～【自動詞・五段動詞】,
入る,入ります,入って,入らない,入った,入れ,入らせる（いれらせる）,はいる,はいります,進入；容納；加入～【自動詞・五段動詞】,
走る,走ります,走って,走らない,走った,走れ,走らせる（はしらせる）,はしる,はしります,跑；車輛行駛【自動詞・五段動詞】,
渡る,渡ります,渡って,渡らない,渡った,渡れ,渡らせる（わたらせる）,わたる,わたります,渡過、穿越～【自動詞・五段動詞】,
遊ぶ,遊びます,遊んで,遊ばない,遊んだ,遊べ,遊ばせる（あそばせる）,あそぶ,あそびます,玩耍【自動詞・五段動詞】,
歩く,歩きます,歩いて,歩かない,歩いた,歩け,歩かせる（あるかせる）,あるく,あるきます,走路、步行【自動詞・五段動詞】,
終わる,終わります,終わって,終わらない,終わった,終われ,終わらせる（おわらせる）,おわる,おわります,結束、完成（事情告終）【自動詞・五段動詞】,
掛かる,掛かります,掛かって,掛からない,掛かった,掛かれ,掛からせる（かからせる）,かかる,かかります,掛著；花費、需要；接通【自動詞・五段動詞】,
閉まる,閉まります,閉まって,閉まらない,閉まった,閉まれ,閉まらせる（しまらせる）,しまる,しまります,門、窗或店關上（自行關閉）【自動詞・五段動詞】,
止まる,止まります,止まって,止まらない,止まった,止まれ,止まらせる（とまらせる）,とまる,とまります,停住、停止（自行停止）【自動詞・五段動詞】,
始まる,始まります,始まって,始まらない,始まった,始まれ,始まらせる（はじまらせる）,はじまる,はじまります,開始（事情自行展開）【自動詞・五段動詞】,
曲がる,曲がります,曲がって,曲がらない,曲がった,曲がれ,曲がらせる（まがらせる）,まがる,まがります,轉彎；彎曲【自動詞・五段動詞】,
分かる,分かります,分かって,分からない,分かった,分かれ,分からせる（わからせる）,わかる,わかります,理解、明白；知道【自動詞・五段動詞】,
居る,居ます,居て,居ない,居た,居ろ,居らせる（いらせる）,いる,おります,在、存在（人或動物）【自動詞・一段動詞】,
起きる,起きます,起きて,起きない,起きた,起きろ,起きさせる（おきさせる）,おきる,おきます,起床；發生【自動詞・一段動詞】,
降りる,降ります,降りて,降りない,降りた,降りろ,降らせる（ふらせる）,おりる,おります,下車、下樓；降落（讀作おりる）【自動詞・一段動詞】,
出来る,出来ます,出来て,出来ない,出来た,出来ろ,出来させる（できさせる）,できる,できます,能夠、會；完成、形成【自動詞・一段動詞】,
出る,出ます,出て,出ない,出た,出ろ,出させる（ださせる）,でる,でます,出去、離開；出現、參加【自動詞・一段動詞】,
寝る,寝ます,寝て,寝ない,寝た,寝ろ,寝させる（ねさせる）,ねる,ねます,睡覺【自動詞・一段動詞】,
覚える,覚えます,覚えて,覚えない,覚えた,覚えろ,覚えさせる（おぼえさせる）,おぼえる,おぼえます,記住、學會～【他動詞・一段動詞】,
消える,消えます,消えて,消えない,消えた,消えろ,消えさせる（きえさせる）,きえる,きえます,消失；熄滅（自行不見）【自動詞・一段動詞】,
答える,答えます,答えて,答えない,答えた,答えろ,答えさせる（こたえさせる）,こたえる,こたえます,回答～、作答【自動詞・一段動詞】,
疲れる,疲れます,疲れて,疲れない,疲れた,疲れろ,疲れさせる（つかれさせる）,つかれる,つかれます,感到疲累、疲倦【自動詞・一段動詞】,
晴れる,晴れます,晴れて,晴れない,晴れた,晴れろ,晴れさせる（はれさせる）,はれる,はれます,放晴、天空轉晴【自動詞・一段動詞】,
生まれる,生まれます,生まれて,生まれない,生まれた,生まれろ,生まれさせる（うまれさせる）,うまれる,うまれます,出生、誕生；產生【自動詞・一段動詞】,
出掛ける,出掛けます,出掛けて,出掛けない,出掛けた,出掛けろ,出掛けさせる（でかけさせる）,でかける,でかけます,出門、外出【自動詞・一段動詞】,
コピーする,コピーします,コピーして,コピーしない,コピーした,コピーしてください,コピーさせる,コピーする,こぴーします,影印、複製～【他動詞・サ變動詞】,
質問する,質問します,質問して,質問しない,質問した,質問してください,質問させる（しつもんさせる）,しつもんする,しつもんします,提問、詢問～【他動詞・サ變動詞】,
洗濯する,洗濯します,洗濯して,洗濯しない,洗濯した,洗濯してください,洗濯させる（せんたくさせる）,せんたくする,せんたくします,洗衣服【他動詞・サ變動詞】,
掃除する,掃除します,掃除して,掃除しない,掃除した,掃除してください,掃除させる（そうじさせる）,そうじする,そうじします,打掃、清潔～【他動詞・サ變動詞】,
勉強する,勉強します,勉強して,勉強しない,勉強した,勉強してください,勉強させる（べんきょうさせる）,べんきょうする,べんきょうします,讀書、用功學習（自主學習）【他動詞・サ變動詞】,
練習する,練習します,練習して,練習しない,練習した,練習してください,練習させる（れんしゅうさせる）,れんしゅうする,れんしゅうします,練習～、訓練～【他動詞・サ變動詞】,
結婚する,結婚します,結婚して,結婚しない,結婚した,結婚してください,結婚させる（けっこんさせる）,けっこんする,けっこんします,結婚、成婚【自動詞・サ變動詞】,
散歩する,散歩します,散歩して,散歩しない,散歩した,散歩してください,散歩させる（さんぽさせる）,さんぽする,さんぽします,散步、溜達【自動詞・サ變動詞】,
旅行する,旅行します,旅行して,旅行しない,旅行した,旅行してください,旅行させる（りょこうさせる）,りょこうする,りょこうします,旅行、出遊【自動詞・サ變動詞】,
来る,来ます,来て,来ない（こない）,来た,来い（こい）,来れる（これる）,くる,きます,來、到來（カ變動詞）【自動詞・カ變動詞】,
する,します,して,しない,した,しろ,される,する,します,做、進行（泛用動詞）【自他兩用・サ變動詞】,
